SSID,Security
LCS-Guest,None
LCS07,4
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,4
HP-Print-E7-Officejet Pro 8600,4
2e771,None
Colemanrice,4
Ritt's Network,4
SpectrumSetup-47,4
Linksys_2.4GHz,4
Old Trafford,4
FITZ,4
